,brewery,name,abv,style_name,location,description,type,organic,id
71,Bedonnant & Bedons Ronds,Hordeum,9,American-Style Barley Wine Ale,Quebec,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",Brewpub,N,Qxwhk5
72,Bedonnant & Bedons Ronds,Gwendoline,6,Golden or Blonde Ale,Quebec,"Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.",Brewpub,N,CKV5RD
73,Bellwoods Brewery,Cat Lady IPA,7.2,American-Style India Pale Ale,Ontario,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",Micro Brewery,N,vGWmeO
74,Bellwoods Brewery,Lost River Baltic Porter, 8.00%, Baltic Porter ,Ontario,NaN,Micro Brewery,NaN,NaN
75,Bellwoods Brewery,Bring Out Your Dead,12.2,American-Style Imperial Stout,Ontario,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",Micro Brewery,N,8a9O9P
76,Bellwoods Brewery,Monogamy - Galaxy, 6.40%, American Pale Ale (A PA) ,Ontario,NaN,Micro Brewery,NaN,NaN
77,Bellwoods Brewery,Skeleton Key - Coffee, 10.50%, American Imperial Stout ,Ontario,NaN,Micro Brewery,NaN,NaN
78,Bellwoods Brewery,Boogie Monster,8,Imperial or Double India Pale Ale,Ontario,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",Micro Brewery,N,JlNTfl
79,Bellwoods Brewery,Farmageddon, 7.20%, Belgian Saison ,Ontario,NaN,Micro Brewery,NaN,NaN
80,Bellwoods Brewery,Monogamy - Mosaic, 6.40%, American Pale Ale (A PA) ,Ontario,NaN,Micro Brewery,NaN,NaN
81,Bellwoods Brewery,Skeleton Key - Coconut, 10.50%, American Imperial Stout ,Ontario,NaN,Micro Brewery,NaN,NaN
82,Bellwoods Brewery,Catherine Wheel,7.2,American-Style India Pale Ale,Ontario,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",Micro Brewery,N,0r8pPZ
83,Bellwoods Brewery,Bounty Hunter,10.3,American-Style Imperial Porter,Ontario,"American-style imperial porters are black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness. Hop bitterness is perceived at a medium-low to medium level. Hop flavor and aroma may vary from being low to medium-high. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment hop character and malt derived sweetness. Diacetyl (butterscotch) levels should be absent.",Micro Brewery,N,XaFanp
84,Bellwoods Brewery,Monogamy - Citra, 6.40%, American Pale Ale (A PA) ,Ontario,NaN,Micro Brewery,NaN,NaN
87,Bellwoods Brewery,Milkshark - Guava, 7.00%, American IPA ,Ontario,NaN,Micro Brewery,NaN,NaN
88,Bellwoods Brewery,White Picket Fence, 6.40%, Belgian Saison ,Ontario,NaN,Micro Brewery,NaN,NaN
89,Bellwoods Brewery,Ghost Orchid, 6.30%, American IPA ,Ontario,NaN,Micro Brewery,NaN,NaN
90,Bellwoods Brewery,Jelly King - Pink Guava, 5.60%, American Wild Ale ,Ontario,NaN,Micro Brewery,NaN,NaN
91,Bellwoods Brewery,Double Jutsu, 8.00%, American IPA ,Ontario,NaN,Micro Brewery,NaN,NaN
92,Bellwoods Brewery,Bounty Hunter, 10.30%, American Imperial Porter ,Ontario,NaN,Micro Brewery,NaN,NaN
93,Bellwoods Brewery,Roman Candle, 6.80%, American IPA ,Ontario,NaN,Micro Brewery,NaN,NaN
94,Bellwoods Brewery,Milkshark - Pineapple, 7.00%, American IPA ,Ontario,NaN,Micro Brewery,NaN,NaN
95,Bellwoods Brewery,Runes - Double Dry-Hopped With Mosaic And Citra Lupulin Powder, 6.70%, American IPA ,Ontario,NaN,Micro Brewery,NaN,NaN
96,Bellwoods Brewery,Lambda, 11.00%, Belgian Quadrupel (Quad) ,Ontario,NaN,Micro Brewery,NaN,NaN
97,Bellwoods Brewery,Monogamy - Nelson Sauvin, 6.40%, American Pale Ale (A PA) ,Ontario,NaN,Micro Brewery,NaN,NaN
99,Bellwoods Brewery,Jelly King, 5.60%, American Wild Ale ,Ontario,NaN,Micro Brewery,NaN,NaN
100,Bellwoods Brewery,Gotham, 8.00%, American Black Ale ,Ontario,NaN,Micro Brewery,NaN,NaN
101,Bellwoods Brewery,Witchshark, 9.00%, American Imperial IPA ,Ontario,NaN,Micro Brewery,NaN,NaN
102,Bellwoods Brewery,Hellwoods, 10.00%, Russian Imperial Stout ,Ontario,NaN,Micro Brewery,NaN,NaN
103,Bellwoods Brewery,Cat Lady - Double Dry-Hopped, 7.20%, American IPA ,Ontario,NaN,Micro Brewery,NaN,NaN
104,Bellwoods Brewery,Jutsu, 5.60%, American Pale Ale (A PA) ,Ontario,NaN,Micro Brewery,NaN,NaN
105,Bellwoods Brewery,Farmageddon - Niagara Montmorency Cherry, 6.70%, Belgian Saison ,Ontario,NaN,Micro Brewery,NaN,NaN
106,Bellwoods Brewery,3 Minutes To Midnight, 10.00%, Russian Imperial Stout ,Ontario,NaN,Micro Brewery,NaN,NaN
107,Bellwoods Brewery,Grandma's Boy Wild Ale, 7.90%, American Wild Ale ,Ontario,NaN,Micro Brewery,NaN,NaN
